customer_id,name,gender,age,city,sign_up_date,loyalty_score
1,Kimberly Macdonald,M,68,Port Anna,2023-12-14,30
2,Daniel Cisneros,M,31,West Andreville,2023-06-07,29
3,Edward Johnson,M,64,Ethantown,2023-07-05,99
4,Nathaniel Tran,M,49,Kaitlynbury,2025-04-27,55
5,Amber Arias,M,55,South Melissafurt,2024-03-06,97
6,Gail Hunt,M,33,Leeton,2025-02-17,72
7,Krista Johnson,F,66,East Jeffreyshire,2024-12-02,76
8,Jerry Baker,F,29,Pollardview,2024-02-17,14
9,Andrea Allen,M,54,West Jacquelinefurt,2023-06-28,78
10,Chelsea Sosa,M,47,Nelsonborough,2025-05-16,61
11,Lauren Bauer,M,45,West Charleshaven,2025-10-12,8
12,Katrina Smith,M,45,Janetside,2024-06-17,100
13,Jorge Solis,F,56,South Sheilastad,2024-10-25,5
14,Hector Perry PhD,F,64,Harrisview,2023-09-26,56
15,Nicole Gibbs,F,21,Maryville,2025-05-22,62
16,Alisha Zamora,M,41,Carterhaven,2024-05-05,84
17,Rachel Mendoza,F,24,North Patrick,2023-04-30,44
18,Cynthia Wallace,F,52,Hallmouth,2024-03-12,80
19,Sean Cooper,M,70,Port Robintown,2023-07-22,80
20,Patrick Rivas,F,28,Garzashire,2024-08-18,95
21,Hector Bishop,F,36,Port Michael,2023-10-10,59
22,Krystal Dominguez,M,61,Vargasville,2023-08-16,77
23,John Drake,F,63,Lake Amandaburgh,2024-06-30,12
24,Timothy Wade,M,58,Houseland,2025-04-15,5
25,Jessica Santana,M,40,Garyville,2023-07-29,89
26,Joshua Horn,F,64,East Ethan,2024-10-12,73
27,Tammy Martinez,F,32,Nicoleland,2025-05-23,76
28,Carla Hoffman,F,47,East Robert,2025-01-23,96
29,Nicole Stewart,F,53,Janicehaven,2024-12-15,38
30,Sarah Lee,M,57,Michelleborough,2023-06-18,92
31,Courtney Thomas,M,34,Christinehaven,2025-03-31,39
32,Kevin Miller,F,39,Claytonborough,2023-05-29,24
33,John Payne,M,52,Callahanstad,2025-02-09,53
34,Mrs. Sandra Dean,F,47,South Sharon,2025-08-13,86
35,Brandon Stanton,M,43,Lake Patricia,2023-01-26,15
36,Robert Thomas,F,21,West Logan,2024-06-13,12
37,Daniel Smith,M,59,Benjaminburgh,2023-09-14,50
38,Sara Smith,M,29,Ronnieborough,2023-06-28,56
39,Charles Roberts,M,38,North Aaron,2025-01-15,29
40,Amber Tucker,F,50,Lopezchester,2023-10-28,78
41,Victoria Evans,M,42,East David,2024-07-23,95
42,Donald Pierce,M,18,Tannerport,2023-02-16,71
43,Angela Owens,M,40,East Timothy,2025-04-15,37
44,Bridget Williams,M,68,Port Jenniferbury,2025-02-07,3
45,Diana Ortiz,M,31,Danielstad,2024-09-26,37
46,Kristine Reeves,F,46,Wisefurt,2024-02-04,49
47,Lori Higgins,F,67,West Nicole,2023-11-14,36
48,Jessica Acosta,F,33,Hinesfort,2023-03-26,58
49,Mary Wise,M,69,North Casey,2024-10-22,20
50,Kelly Cole,M,24,Osborneshire,2025-03-15,72
51,Richard Jacobs,F,59,East Debra,2023-12-02,27
52,Thomas Roberson,F,62,New Gregg,2025-03-23,67
53,Peter Carey,M,45,Juanville,2023-02-22,99
54,Craig Melton,M,58,North Cynthia,2025-05-26,82
55,Kenneth Moss,F,25,Lake Jasonton,2024-05-25,83
56,Dean Perry,M,25,East Mariotown,2024-08-09,25
57,Karen Arroyo,F,62,Port Charlesborough,2023-04-01,13
58,Dennis Becker,F,21,East Stephanie,2024-04-15,98
59,Marcus Edwards,F,41,East Ryanport,2025-03-25,80
60,Sabrina Burns MD,M,34,New Ronaldland,2023-01-24,5
61,Timothy Rogers,M,25,Williamborough,2025-03-04,5
62,Rachel Castro,M,19,Harringtonstad,2024-09-19,46
63,Daniel Torres,F,58,Douglasland,2023-02-24,45
64,Terry Jefferson,M,34,East Andreaport,2023-02-02,90
65,Samantha Stevens,M,56,Danielberg,2024-01-22,66
66,Joshua Charles,F,40,Wushire,2025-07-17,72
67,Carolyn Henry,M,22,East Charles,2025-08-21,84
68,Andrea Jones,F,65,South Jefferyshire,2025-03-07,43
69,Jennifer Walker,F,53,Andrewbury,2023-11-22,22
70,Jeffrey Patton,M,31,Lake Garrettburgh,2025-06-17,51
71,Charles Moore,M,30,West Brittany,2025-07-25,42
72,Rebecca Sanchez,M,64,Lake Codyville,2025-10-02,84
73,Tonya Fowler,M,31,Brightbury,2023-06-14,62
